movieId,genreId
193876,6
193876,23
193870,15
193870,5
193870,22
193870,6
193870,23
193855,6
193849,3
193815,26
193815,12
193815,6
193791,6
193789,20
193787,20
193787,14
193709,20
193709,1
193693,10
193659,3
193651,6
193545,14
193529,6
193527,14
193525,6
193525,3
193509,3
193495,5
193495,6
193473,9
193469,5
193469,6
193465,9
193465,11
193465,10
193459,5
193459,3
193459,25
193443,14
193437,24
193437,20
193437,1
193391,9
193365,6
193347,9
193347,11
193347,6
193347,8
193303,3
193281,3
193275,6
193273,6
193269,6
193249,11
193249,8
193249,14
193211,24
193211,20
193211,1
193191,10
193191,4
193163,6
193149,5
193149,3
193131,5
193131,6
193117,6
193117,3
193117,1
193097,22
193097,6
193063,24
193063,0
193063,7
193063,1
193019,22
193019,6
193013,6
193013,3
192971,6
192971,8
192939,11
192939,10
192939,20
192885,3
192873,15
192873,22
192873,6
192859,3
192853,9
192853,6
192679,6
192679,3
192675,26
192675,6
192505,24
192455,12
192455,6
192455,7
192421,9
192421,6
192421,8
192373,3
192353,14
192339,9
192339,11
192339,6
192339,8
192277,22
192277,6
192269,12
192269,10
192269,3
192227,5
192227,21
192227,6
192227,3
192139,20
192125,6
192125,3
192125,20
192111,5
192111,6
192031,9
192031,11
192031,3
192001,9
192001,11
192001,6
192001,8
191993,7
191971,6
191963,20
191961,14
191955,6
191955,20
191943,16
191943,24
191943,20
191943,1
191939,22
191939,6
191917,3
191897,8
191897,6
191897,0
191869,5
191869,6
191869,8
191869,3
191869,23
191855,7
191819,8
191819,14
191813,3
191813,20
191809,5
191809,23
191809,0
191809,14
191757,6
191757,8
191757,3
191751,5
191751,11
191747,5
191747,6
191697,9
191697,5
191697,6
191695,15
191695,9
191695,6
191695,7
191685,23
191685,20
191685,14
191645,3
191641,6
191637,5
191637,6
191467,6
191443,6
191433,9
191433,5
191433,6
191429,14
191411,24
191411,6
191411,23
191411,20
191411,14
191403,6
191403,20
191393,26
191393,20
191391,5
191391,3
191391,20
191385,3
191385,20
191353,6
191341,26
191341,6
191341,3
191275,6
191263,6
191263,20
191259,6
191227,12
191207,14
191173,6
191173,3
191161,3
191077,6
191021,6
191021,3
190971,12
190971,3
190969,6
190967,6
190949,5
190949,6
190949,3
190941,9
190941,6
190941,8
190897,26
190897,6
190897,23
190891,5
190891,6
190891,20
190855,14
190841,6
190841,3
190821,21
190821,24
190773,14
190727,3
190727,14
190725,3
190723,3
190723,14
190715,3
190713,3
190707,26
190707,22
190705,21
190705,14
190703,26
190703,6
190701,6
190617,22
190617,14
190597,6
190533,20
190483,24
190483,0
190483,1
190475,6
190473,6
190469,6
190463,3
190409,20
190403,6
190403,20
190387,20
190387,1
190383,14
190381,5
190381,6
190377,6
190375,6
190315,6
190313,6
190289,6
190289,8
190289,3
190285,21
190285,24
190285,20
190249,3
190237,20
190189,14
190181,6
190173,9
190173,8
190163,21
190163,20
190159,9
190159,10
190159,6
190159,8
190139,6
190095,6
190071,20
190061,20
190049,20
190009,6
190009,3
189925,23
189925,14
189881,20
189845,6
189833,9
189833,11
189833,10
189833,6
189813,5
189813,16
189813,3
189789,5
189789,6
189789,3
189725,6
189723,9
189723,10
189723,6
189707,5
189707,6
189703,5
189703,24
189703,6
189703,3
189627,6
189619,23
189619,20
189619,14
189617,14
189615,21
189615,3
189615,1
189615,14
189611,27
189611,22
189611,14
189597,22
189597,6
189597,20
189597,14
189573,24
189573,6
189571,20
189557,21
189537,6
189513,16
189513,6
189507,9
189507,10
189507,6
189505,6
189433,6
189429,5
189429,24
189429,6
189429,3
189413,5
189413,6
189385,3
189385,16
189351,15
189351,22
189351,6
189345,14
189335,3
189227,5
189227,6
189227,1
189163,14
189161,14
189159,14
189143,3
189077,9
189077,6
189077,8
189077,3
189077,1
189047,9
189047,11
189047,6
189025,9
189025,6
189023,14
188925,14
188923,14
188907,14
188903,3
188901,20
188891,20
188891,14
188817,3
188817,20
188817,1
188817,24
188805,0
188801,14
188735,24
188735,6
188735,3
188723,6
188703,10
188627,15
188627,6
188617,6
188601,15
188601,6
188595,6
188593,20
188593,14
188569,14
188567,10
188567,6
188561,9
188561,12
188561,0
188561,7
188499,24
188499,3
188499,20
188499,1
188493,3
188493,6
188405,6
188387,6
188387,23
188367,24
188367,3
188367,20
188367,1
188333,5
188333,16
188333,3
188323,4
188323,24
188323,20
188323,1
188257,22
188257,23
188257,14
188225,6
188223,20
188223,14
188209,12
188209,3
188209,7
188203,20
188201,9
188201,12
188201,0
188201,7
188129,24
188129,20
188129,1
188071,6
188071,8
188063,6
188029,26
188029,20
188029,14
188013,6
187965,5
187965,6
187965,3
187913,9
187913,6
187913,8
187913,7
187839,6
187825,4
187825,24
187825,3
187825,7
187821,6
187821,3
187799,21
187799,14
187787,3
187767,21
187767,14
187765,21
187713,9
187713,6
187713,7
187703,4
187703,24
187703,0
187699,24
187699,6
187699,23
187697,21
187697,14
187695,21
187693,21
187693,14
187691,21
187691,14
187689,21
187689,14
187685,3
187645,21
187645,24
187645,3
187549,26
187549,14
187543,6
187525,6
187519,12
187519,0
187519,7
187475,7
187471,22
187455,15
187455,9
187455,22
187455,6
187451,26
187451,23
187451,14
187443,10
187429,10
187429,20
187429,1
187413,12
187413,20
187401,20
187401,6
187399,20
187399,14
187391,3
187391,20
187391,1
187391,24
187387,20
187387,3
187373,9
187373,11
187373,6
187373,8
187371,20
187361,1
187361,20
187349,14
187349,20
187343,3
187343,20
187343,1
187343,24
187329,20
187327,3
187327,20
187311,5
187311,6
187311,3
187307,20
187307,1
187285,3
187285,20
187285,1
187285,24
187285,15
187273,20
187273,3
187273,1
187269,5
187269,16
187269,24
187269,3
187269,20
187269,1
187253,24
187253,3
187253,20
187253,1
187251,6
187209,3
187177,14
187161,9
187161,10
187155,11
187155,6
187155,8
187131,6
187107,6
187059,14
187013,4
187013,20
187011,20
187009,20
186995,6
186951,6
186951,3
186929,3
186897,6
186893,9
186893,11
186893,6
186891,6
186891,3
186887,14
186885,5
186885,6
186865,3
186835,6
186835,3
186805,15
186805,6
186805,20
186805,1
186801,20
186791,6
186789,20
186781,6
186781,8
186781,3
186779,6
186757,15
186757,6
186753,6
186725,5
186725,6
186725,3
186629,6
186629,20
186619,14
186613,20
186613,3
186613,1
186597,26
186597,5
186597,6
186597,3
186585,9
186585,11
186585,10
186543,6
186489,6
186477,5
186477,6
186475,9
186475,11
186475,6
186449,9
186449,12
186449,4
186449,24
186449,0
186449,7
186449,20
186449,1
186441,4
186441,24
186441,8
186441,0
186441,7
186441,20
186441,1
186437,12
186437,4
186437,24
186437,8
186437,0
186437,7
186437,20
186437,1
186385,17
186385,24
186385,3
186385,20
186385,1
186379,6
186379,3
186379,20
186377,20
186375,3
186375,20
186373,16
186373,3
186373,20
186355,6
186337,3
186327,10
186327,24
186327,3
186327,20
186327,1
186325,3
186325,20
186325,1
186325,24
186313,23
186293,21
186275,3
186275,20
186261,6
186261,8
186261,3
186253,16
186253,24
186253,3
186253,20
186253,1
186247,6
186241,27
186241,22
186241,14
186143,10
186143,3
186117,3
186093,6
186093,8
186093,7
186079,9
186053,6
186037,10
186037,0
186007,6
185973,6
185939,6
185913,9
185913,5
185913,11
185913,6
185913,8
185857,6
185845,22
185845,6
185837,6
185835,20
185835,1
185827,4
185827,24
185827,0
185819,15
185819,6
185809,3
185745,14
185721,14
185695,26
185695,14
185691,5
185691,6
185675,5
185675,6
185667,26
185667,7
185663,26
185663,7
185659,26
185659,7
185657,26
185657,7
185653,7
185613,1
185599,15
185581,1
185573,6
185565,3
185517,9
185517,6
185517,7
185479,5
185479,14
185459,6
185459,7
185419,3
185399,3
185357,12
185357,6
185357,3
185357,7
185337,21
185337,14
185331,14
185329,6
185323,21
185323,6
185323,3
185315,5
185315,6
185315,23
185291,9
185291,7
185291,24
185291,6
185255,3
185243,3
185243,20
185211,16
185211,8
185211,3
185211,0
185211,7
185195,14
185191,20
185165,3
185159,11
185159,10
185159,4
185159,6
185159,3
185143,21
185143,6
185143,3
185141,6
185141,3
185139,6
185139,3
185133,3
185097,6
185097,8
185097,0
185085,17
185023,12
185023,24
185023,6
185009,6
184975,26
184975,24
184975,3
184975,20
184975,1
184969,24
184969,20
184969,1
184913,12
184913,6
184893,6
184891,3
184887,6
184853,9
184847,14
184827,6
184651,11
184651,3
184651,7
184631,5
184631,20
184627,14
184611,4
184611,3
184611,0
184607,10
184607,3
184607,7
184595,5
184595,6
184547,21
184547,24
184547,20
184547,1
184499,20
184499,14
184483,6
184401,9
184399,6
184399,3
184337,21
184337,4
184337,6
184337,0
184329,5
184309,6
184309,8
184309,1
184305,5
184305,3
184271,10
184169,11
184169,4
184169,6
184169,3
184169,0
184151,16
184151,24
184151,3
184151,1
184149,16
184149,24
184149,3
184149,1
184123,6
184123,23
184123,14
184109,9
184109,6
184099,9
184099,11
184091,20
184091,1
184083,23
184083,20
184083,1
184083,14
184075,3
184059,6
184055,11
184055,10
184029,4
184029,24
184029,3
184029,0
184029,1
184027,3
184003,20
184003,14
184001,9
183995,16
183995,6
183995,3
183963,6
183947,21
183947,23
183947,0
183947,14
183935,6
183935,3
183909,3
183909,23
183907,16
183907,6
183871,26
183871,14
183869,9
183869,11
183869,10
183869,6
183865,12
183865,11
183865,6
183813,5
183813,6
183735,24
183735,6
183735,3
183723,14
183717,6
183687,20
183687,14
183665,8
183665,14
183627,8
183627,3
183587,22
183587,6
183577,15
183577,24
183577,3
183577,20
183577,1
183555,6
183551,9
183551,10
183551,7
183513,11
183473,6
183443,6
183427,3
183383,5
183383,6
183383,3
183375,24
183375,0
183375,1
183371,14
183357,27
183357,8
183357,23
183357,14
183315,6
183315,3
183307,9
183307,12
183307,20
183283,10
183275,8
183275,3
183257,3
183253,9
183253,12
183253,10
183247,20
183221,5
183221,11
183221,6
183185,9
183185,12
183185,21
183185,3
183185,20
183167,6
183113,3
183089,3
183069,6
183067,6
183027,20
183015,6
183015,8
183013,6
183009,3
183009,7
183007,6
182997,5
182997,3
182997,7
182989,3
182983,5
182983,6
182979,22
182979,6
182979,3
182977,6
182975,9
182975,8
182975,7
182971,6
182963,6
182961,6
182961,3
182909,9
182909,11
182909,10
182909,0
182843,6
182833,6
182817,5
182817,6
182817,3
182801,3
182801,5
182797,17
182797,20
182789,6
182789,8
182787,3
182765,6
182761,8
182761,9
182761,6
182747,14
182727,16
182723,14
182719,24
182719,14
182701,6
182701,0
182693,21
182693,10
182693,3
182687,20
182687,1
182665,14
182655,10
182655,4
182655,8
182655,3
182655,0
182655,7
182653,14
182629,5
182615,3
182615,20
182535,3
182535,20
182533,20
182529,20
182525,5
182521,5
182521,6
182519,5
182519,6
182517,6
182473,3
182461,24
182461,6
182461,3
182459,10
182459,1
182433,20
182433,3
182431,5
182431,6
182431,3
182427,5
182427,0
182419,9
182419,4
182419,24
182419,3
182419,0
182419,7
182411,5
182411,3
182399,6
182391,16
182367,8
182367,14
182365,9
182365,16
182365,6
182365,20
182337,14
182333,6
182329,6
182323,6
182323,3
182317,21
182317,14
182311,3
182279,3
182279,20
182279,24
182279,1
182275,3
182275,20
182275,24
182275,1
182121,24
182121,3
182121,20
182121,1
182097,24
182097,3
182097,20
182097,1
181933,21
181933,20
181933,24
181933,3
181933,1
181899,20
181899,1
181899,24
181869,5
181869,24
181869,3
181869,20
181869,1
181855,24
181855,3
181855,20
181855,1
181757,14
181719,6
181719,23
181717,6
181701,5
181701,6
181693,15
181693,6
181685,15
181685,6
181683,5
181683,11
181683,6
181675,6
181667,3
181667,14
181641,6
181637,6
181637,3
181623,28
181621,28
181615,28
181613,28
181591,6
181561,10
181543,6
181533,20
181533,1
181477,22
181477,14
181463,6
181449,16
181449,23
181449,14
181435,23
181435,14
181417,17
181417,10
181417,6
181417,8
181413,14
181411,3
181411,7
181409,12
181409,24
181409,0
181407,5
181407,6
181401,8
181401,3
181397,9
181397,11
181397,6
181395,6
181381,6
181377,6
181375,6
181361,3
181361,20
181351,6
181327,9
181327,5
181327,4
181327,3
181327,0
181297,10
181297,3
181283,6
181183,16
181181,5
181181,16
181153,16
181143,16
181143,23
181117,22
181117,24
181117,6
181097,20
181097,14
181095,6
181071,6
181071,20
181051,5
181051,6
181051,3
181039,21
181039,6
181011,11
181011,22
181011,23
181011,14
180993,9
180993,6
180991,14
180973,6
180973,23
180947,16
180947,23
180931,16
180923,6
180923,3
180893,16
180893,6
180893,3
180847,5
180847,21
180845,5
180845,6
180845,7
180841,5
180841,21
180841,22
180841,6
180713,6
180695,26
180695,20
180683,16
180667,15
180667,6
180665,6
180653,6
180645,21
180645,3
180597,21
180585,6
180585,3
180543,15
180543,22
180543,6
180539,9
180539,6
180539,8
180531,6
180493,9
180473,21
180473,6
180473,23
180413,14
180407,6
180399,6
180399,20
180399,1
180397,4
180397,0
180397,20
180331,17
180331,6
180311,15
180311,20
180311,1
180301,20
180299,3
180299,20
180299,14
180213,6
180199,9
180199,7
180195,6
180193,23
180193,14
180189,6
180179,6
180179,3
180179,0
180179,20
180179,1
180177,11
180177,6
180177,20
180175,27
180175,6
180175,7
180175,20
180167,3
180167,20
180163,12
180163,20
180163,1
180143,3
180115,3
180097,9
180097,11
180097,10
180097,6
180097,8
180097,7
180083,5
180083,3
180077,14
180069,6
180053,16
180053,4
180053,3
180053,1
180049,10
180049,3
180015,14
180011,14
180005,3
180003,6
180003,20
179995,3
179995,20
179995,6
179993,12
179993,20
179987,6
179973,20
179973,1
179971,20
179971,1
179969,24
179969,6
179969,20
179955,3
179935,9
179935,5
179935,6
179935,20
179927,6
179907,8
179907,3
179907,7
179869,9
179869,8
179845,9
179845,11
179845,10
179843,14
179833,23
179833,14
179823,5
179823,22
179823,6
179823,23
179783,6
179769,4
179769,6
179769,23
179767,5
179767,3
179765,6
179763,6
179763,3
179723,4
179723,24
179719,24
179555,16
179487,14
179485,14
179469,23
179469,14
179459,14
179405,6
179405,3
179369,21
179369,6
179369,3
