,movieId,genreId
0,1,1
1,1,8
2,1,13
3,1,12
4,1,16
5,2,1
6,2,13
7,2,16
8,3,12
9,3,15
10,4,12
11,4,9
12,4,15
13,5,12
14,6,2
15,6,20
16,6,18
17,7,12
18,7,15
19,8,1
20,8,13
21,9,2
22,10,2
23,10,1
24,10,18
25,11,12
26,11,9
27,11,15
28,12,12
29,12,10
30,13,1
31,13,8
32,13,13
33,14,9
34,15,2
35,15,1
36,15,15
37,16,20
38,16,9
39,17,9
40,17,15
41,18,12
42,19,12
43,20,2
44,20,12
45,20,20
46,20,9
47,20,18
48,21,12
49,21,20
50,21,18
51,22,20
52,22,9
53,22,10
54,22,11
55,22,18
56,23,2
57,23,20
58,23,18
59,24,9
60,24,17
61,25,9
62,25,15
63,26,9
64,27,13
65,27,9
66,28,9
67,28,15
68,29,1
69,29,9
70,29,16
71,29,11
72,29,17
73,30,20
74,30,9
75,31,9
76,32,11
77,32,17
78,32,18
79,33,1
80,33,15
81,33,3
82,34,13
83,34,9
84,35,9
85,35,15
86,36,20
87,36,9
88,37,7
89,37,3
90,38,13
91,38,12
92,39,12
93,39,15
94,40,9
95,41,9
96,41,4
97,42,2
98,42,20
99,42,9
100,43,9
101,44,2
102,44,1
103,44,16
104,45,12
105,45,9
106,45,18
107,46,9
108,46,15
109,47,11
110,47,18
111,48,8
112,48,13
113,48,9
114,48,14
115,48,15
116,49,9
117,49,15
118,50,20
119,50,11
120,50,18
121,51,2
122,51,9
123,51,18
124,52,12
125,52,9
126,52,15
127,53,1
128,53,9
129,54,13
130,54,12
131,55,9
132,56,1
133,56,13
134,56,12
135,56,16
136,57,9
137,58,12
138,58,9
139,58,15
140,59,9
141,59,11
142,60,1
143,60,13
144,60,16
145,61,9
146,61,18
147,62,9
148,63,12
149,63,20
150,64,12
151,64,15
152,65,12
153,66,2
154,66,17
155,66,18
156,67,9
157,68,12
158,68,15
159,69,12
160,70,2
161,70,12
162,70,10
163,70,18
164,71,2
165,72,12
166,72,9
167,73,9
168,73,4
169,74,9
170,74,15
171,75,12
172,75,9
173,76,2
174,76,17
175,76,18
176,77,7
177,78,2
178,78,20
179,78,9
180,78,18
181,79,9
182,79,18
183,80,13
184,80,9
185,81,20
186,81,9
187,81,15
188,82,12
189,82,9
190,83,9
191,83,15
192,84,12
193,84,9
194,85,9
195,85,15
196,86,2
197,86,1
198,86,9
199,87,13
200,87,12
201,88,12
202,89,2
203,89,18
204,90,9
205,92,9
206,92,10
207,92,18
208,93,12
209,93,10
210,93,15
211,94,12
212,94,9
213,94,15
214,95,2
215,95,1
216,95,18
217,96,12
218,96,9
219,97,20
220,97,9
221,98,2
222,98,18
223,99,7
224,100,9
225,100,18
226,101,1
227,101,12
228,101,20
229,101,15
230,102,12
231,103,11
232,103,17
233,103,18
234,104,12
235,105,9
236,105,15
237,106,12
238,106,9
239,107,1
240,107,13
241,107,12
242,107,14
243,108,7
244,109,12
245,109,9
246,109,18
247,110,2
248,110,9
249,110,4
250,111,20
251,111,9
252,111,18
253,112,2
254,112,1
255,112,12
256,112,20
257,113,9
258,113,11
259,114,9
260,115,12
261,116,7
262,117,20
263,117,9
264,118,12
265,118,15
266,119,12
267,120,1
268,120,12
269,120,9
270,121,9
271,122,12
272,122,15
273,123,9
274,123,11
275,123,15
276,124,9
277,125,12
278,126,1
279,126,13
280,126,16
281,127,9
282,128,7
283,129,12
284,129,15
285,130,9
286,131,9
287,131,15
288,132,18
289,133,12
290,133,9
291,134,7
292,135,12
293,136,7
294,137,7
295,138,9
296,139,2
297,139,9
298,140,9
299,140,15
300,141,12
301,142,9
302,143,9
303,144,12
304,145,2
305,145,12
306,145,20
307,145,9
308,145,18
309,146,1
310,146,13
311,147,9
312,148,9
313,149,20
314,149,9
315,149,18
316,150,1
317,150,9
318,150,3
319,151,2
320,151,9
321,151,15
322,151,4
323,152,9
324,152,10
325,153,2
326,153,1
327,153,12
328,153,20
329,154,9
330,155,1
331,155,9
332,155,4
333,156,12
334,156,9
335,157,12
336,157,4
337,158,1
338,158,13
339,159,20
340,159,9
341,159,11
342,160,2
343,160,1
344,160,11
345,160,17
346,161,9
347,161,18
348,161,4
349,162,7
350,163,2
351,163,15
352,163,6
353,164,20
354,164,5
355,164,11
356,164,18
357,165,2
358,165,20
359,165,18
360,166,12
361,166,20
362,166,9
363,167,9
364,168,2
365,168,9
366,168,15
367,169,1
368,169,13
369,169,9
370,170,2
371,170,1
372,170,20
373,170,18
374,171,12
375,171,9
376,172,2
377,172,17
378,172,18
379,173,2
380,173,20
381,173,17
382,174,12
383,175,9
384,176,12
385,177,10
386,178,12
387,178,9
388,179,9
389,179,15
390,180,12
391,180,15
392,181,2
393,181,13
394,182,9
395,182,15
396,183,12
397,183,10
398,183,18
399,184,9
400,185,2
401,185,20
402,185,18
403,186,12
404,186,15
405,187,12
406,188,16
407,188,10
408,188,11
409,189,12
410,189,16
411,190,18
412,191,9
413,191,15
414,192,7
415,193,9
416,194,12
417,194,9
418,195,12
419,195,9
420,195,15
421,196,10
422,196,17
423,197,9
424,198,2
425,198,20
426,198,9
427,198,11
428,198,17
429,198,18
430,199,9
431,199,14
432,199,15
433,200,18
434,201,9
435,201,16
436,202,9
437,202,15
438,203,12
439,204,2
440,205,12
441,205,9
442,206,7
443,207,9
444,207,15
445,208,2
446,208,1
447,208,17
448,209,9
449,210,6
450,211,9
451,212,1
452,212,12
453,212,20
454,212,11
455,213,9
456,214,9
457,214,4
458,215,9
459,215,15
460,216,12
461,217,9
462,217,18
463,218,12
464,218,9
465,219,9
466,220,10
467,222,9
468,222,15
469,223,12
470,224,12
471,224,9
472,224,15
473,225,9
474,225,18
475,226,18
476,227,2
477,227,18
478,228,12
479,229,9
480,229,18
481,230,9
482,230,18
483,231,1
484,231,12
485,232,12
486,232,9
487,232,15
488,233,9
489,234,12
490,235,12
491,235,9
492,236,2
493,236,12
494,236,15
495,237,12
496,237,15
497,238,1
498,238,13
499,239,8
500,239,13
501,239,12
502,239,15
503,240,18
504,241,13
505,241,9
506,242,9
507,242,14
508,243,13
509,243,12
510,243,16
511,244,8
512,244,13
513,245,20
514,245,9
515,246,7
516,247,20
517,247,9
518,248,12
519,249,9
520,249,15
521,250,13
522,250,12
523,251,2
524,252,12
525,252,15
526,253,9
527,253,10
528,254,9
529,255,12
530,256,12
531,256,17
532,257,11
533,257,18
534,258,1
535,258,13
536,258,12
537,258,16
538,258,15
539,259,20
540,259,9
541,259,18
542,260,2
543,260,1
544,260,17
545,261,9
546,262,13
547,262,9
548,263,9
549,264,9
550,265,9
551,265,16
552,265,15
553,266,9
554,266,15
555,266,4
556,266,6
557,267,12
558,268,20
559,268,9
560,269,9
561,270,9
562,270,15
563,271,9
564,272,12
565,272,9
566,273,9
567,273,10
568,273,17
569,274,12
570,275,12
571,276,12
572,276,15
573,277,9
574,278,12
575,279,9
576,280,9
577,280,18
578,281,12
579,281,9
580,281,15
581,282,9
582,283,20
583,283,9
584,284,2
585,284,20
586,285,9
587,285,10
588,286,2
589,286,17
590,286,18
591,287,12
592,287,15
593,288,2
594,288,20
595,288,18
596,289,12
597,289,15
598,290,20
599,290,9
600,291,9
601,291,18
602,292,2
603,292,9
604,292,17
605,292,18
606,293,2
607,293,20
608,293,9
609,293,18
610,294,12
611,294,15
612,295,12
613,295,15
614,296,12
615,296,20
616,296,9
617,296,18
618,297,9
619,298,9
620,299,9
621,300,9
622,301,9
623,301,15
624,302,9
625,302,15
626,303,2
627,303,18
628,303,6
629,304,12
630,304,9
631,305,12
632,306,9
633,307,9
634,308,12
635,308,9
636,309,9
637,310,12
638,311,10
639,311,18
640,312,12
641,313,8
642,313,13
643,314,13
644,314,9
645,314,16
646,314,11
647,315,2
648,315,9
649,315,18
650,316,2
651,316,1
652,316,17
653,317,12
654,317,9
655,317,16
656,318,20
657,318,9
658,319,12
659,319,9
660,319,18
661,320,5
662,320,18
663,321,9
664,322,12
665,322,9
666,324,12
667,324,9
668,325,12
669,326,9
670,327,2
671,327,12
672,327,17
673,328,10
674,328,18
675,329,1
676,329,9
677,329,17
678,330,2
679,330,20
680,330,10
681,331,9
682,332,10
683,332,17
684,333,12
685,334,9
686,335,11
687,335,18
688,336,9
689,336,4
690,337,9
691,338,2
692,338,17
693,338,18
694,339,12
695,339,15
696,340,1
697,340,9
698,340,4
699,341,9
700,342,12
701,343,13
702,344,12
703,345,12
704,345,9
705,346,9
706,346,14
707,347,9
708,347,5
709,347,15
710,348,12
711,349,2
712,349,20
713,349,9
714,349,18
715,350,9
716,350,11
717,350,18
718,351,12
719,351,9
720,351,15
721,352,12
722,352,9
723,353,2
724,353,20
725,353,16
726,353,18
727,354,9
728,355,13
729,355,12
730,355,16
731,356,12
732,356,9
